nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2025-02-05,8.3 ~ 9.3,8.3,11936.0,639.3978044943402,0.6389199145442359,0.0807473190348525,0.0630102211796246,0.13594747098845075,0.36955060374670845
Britain,Ground_vehicles,2025-02-05,8.7 ~ 9.7,8.7,7874.0,671.116300482601,0.6128490728981457,0.0,0.0,0.12244009238379078,0.349521753125363
Britain,Ground_vehicles,2025-02-05,9.0 ~ 10.0,9.0,6172.0,636.5340246273494,0.5940213220998056,0.0495009721322099,0.0814160725858716,0.11540051638939354,0.3013515251011447
Britain,Ground_vehicles,2025-02-05,9.3 ~ 10.3,9.3,6973.0,588.9642191309335,0.5939005306180983,0.1386203929442133,0.1686877957837372,0.09669143815226547,0.2309179828197689
Britain,Ground_vehicles,2025-02-05,9.7 ~ 10.7,9.7,9850.0,1047.9072842639594,0.6143955126903553,0.0981319796954314,0.1194172588832487,0.1083949919631942,0.26303484562885276
Britain,Ground_vehicles,2025-02-05,10.0 ~ 11.0,10.0,8532.0,1107.98461673699,0.6199696436943273,0.1132911392405063,0.1378645100796999,0.11179233514264497,0.2726430045850597
Britain,Ground_vehicles,2025-02-05,10.3 ~ 11.3,10.3,7439.0,1190.48262535287,0.634709544293588,0.0888667831697808,0.0905713133485683,0.12140401789274156,0.30680023821919533
Britain,Ground_vehicles,2025-02-05,10.7 ~ 11.7,10.7,13163.0,1224.860352611758,0.5811853908683431,0.0727372179594317,0.0561574109245612,0.11660581425586901,0.3064777934592084
Britain,Ground_vehicles,2025-02-05,11.0 ~ 12.0,11.0,10382.0,1181.4254066103422,0.5531628973222886,0.0922211519938355,0.0712001541128877,0.1090942746968439,0.31014974406754975
Britain,Ground_vehicles,2025-02-05,11.3 ~ 12.3,11.3,10382.0,1181.4254066103422,0.5531628973222886,0.0922211519938355,0.0712001541128877,0.1090942746968439,0.31014974406754975
Britain,Ground_vehicles,2025-02-05,11.7 ~ 12.7,11.7,10382.0,1181.4254066103422,0.5531628973222886,0.0922211519938355,0.0712001541128877,0.1090942746968439,0.31014974406754975
Britain,Ground_vehicles,2025-02-05,12.0 ~ 13.0,12.0,2978.0,1489.0,0.6049858294157153,0.0,0.0,0.12386753218510052,0.40426324600095737
Britain,Ground_vehicles,2025-02-02,1.0 ~ 2.0,1.0,168.0,17.748809523809527,0.5416666666666667,0.0892857142857142,0.0892857142857142,0.1488945157976917,0.3535823785714675
Britain,Ground_vehicles,2025-02-02,1.3 ~ 2.3,1.3,119.0,15.99831932773109,0.4201680672268908,0.1260504201680672,0.1260504201680672,0.08852306389979066,0.17655102712575124
Britain,Ground_vehicles,2025-02-02,1.7 ~ 2.7,1.7,253.0,20.443181818181813,0.6956521739130435,0.0592885375494071,0.0592885375494071,0.1389023577722701,0.23754277228280313
Britain,Ground_vehicles,2025-02-02,2.0 ~ 3.0,2.0,802.0,75.1593412302577,0.7278079800498755,0.0187032418952618,0.0187032418952618,0.26475681447316163,0.6833852381466902
Britain,Ground_vehicles,2025-02-02,2.3 ~ 3.3,2.3,898.0,69.16935120373317,0.7090222717149222,0.0,0.0,0.24056847033067985,0.6648271230899229
Britain,Ground_vehicles,2025-02-02,2.7 ~ 3.7,2.7,1036.0,67.94795113991543,0.7580588803088805,0.0,0.0,0.24824271823400865,0.7106672540214
Britain,Ground_vehicles,2025-02-02,3.0 ~ 4.0,3.0,1402.0,88.24946674818287,0.6577219686162625,0.2652924393723252,0.1354065620542082,0.18154825038595157,0.518158295691162
Britain,Ground_vehicles,2025-02-02,3.3 ~ 4.3,3.3,1338.0,150.06508648302372,0.6146757847533633,0.277982062780269,0.1418834080717488,0.08897215673548772,0.2124565510482566
Britain,Ground_vehicles,2025-02-02,3.7 ~ 4.7,3.7,2408.0,201.98205980066444,0.6136694352159469,0.1544601328903654,0.0788372093023255,0.15847764067659106,0.30967145490097253
Britain,Ground_vehicles,2025-02-02,4.0 ~ 5.0,4.0,2249.0,212.51480658070253,0.5909599822143174,0.165380168963984,0.0844108492663405,0.1514062983328363,0.27013979736658006
Britain,Ground_vehicles,2025-02-02,4.3 ~ 5.3,4.3,3707.0,247.27222147288916,0.5395038036147828,0.1939357971405449,0.204947396816833,0.1880833608439687,0.34703464425759556
Britain,Ground_vehicles,2025-02-02,4.7 ~ 5.7,4.7,3191.0,245.5374882481981,0.5205041052961453,0.2252961454089627,0.2380883735506111,0.20393327434340636,0.38763527885181226
Britain,Ground_vehicles,2025-02-02,5.0 ~ 6.0,5.0,2439.0,244.3059143091431,0.4890025420254202,0.294760147601476,0.3114965149651497,0.18579549697277425,0.3908330712687272
Britain,Ground_vehicles,2025-02-02,5.3 ~ 6.3,5.3,3209.0,231.8750779058897,0.4937978497974446,0.224032408850109,0.2399314428170769,0.18524791569957585,0.3780232864792599
Britain,Ground_vehicles,2025-02-02,5.7 ~ 6.7,5.7,2083.0,209.137421987518,0.5536639462313969,0.0,0.0048967834853576,0.1636587903105469,0.34353589909951876
Britain,Ground_vehicles,2025-02-02,6.0 ~ 7.0,6.0,2320.0,199.87834051724136,0.5355718965517241,0.0,0.0043965517241379,0.16216457399921208,0.34682708975973503
Britain,Ground_vehicles,2025-02-02,6.3 ~ 7.3,6.3,2289.0,234.71155526430755,0.5320273918741808,0.0,0.0044560943643512,0.15555931348584048,0.32953919066469145
Britain,Ground_vehicles,2025-02-02,6.7 ~ 7.7,6.7,8462.0,678.9374294230415,0.5795975419522571,0.0,0.0,0.11075618872825588,0.3044461813101372
Britain,Ground_vehicles,2025-02-02,7.0 ~ 8.0,7.0,8939.0,688.9398826614959,0.5970572211656785,0.0,0.0,0.11768424161367659,0.3205410034195746
Britain,Ground_vehicles,2025-02-02,7.3 ~ 8.3,7.3,13775.0,652.6192458156886,0.6291961814882033,0.0681364791288566,0.0519803992740471,0.1279678114659893,0.33661233719103784
Britain,Ground_vehicles,2025-02-02,7.7 ~ 8.7,7.7,16008.0,660.3926856016436,0.6299875249875062,0.0586319340329835,0.0447295102448775,0.12476492596626426,0.3338973226129687
Britain,Ground_vehicles,2025-02-02,8.0 ~ 9.0,8.0,9877.0,561.4153420404307,0.659273716715602,0.095026830009112,0.0724946846208362,0.14538625887828396,0.38035614752830016
Britain,Ground_vehicles,2025-02-02,8.3 ~ 9.3,8.3,11293.0,606.2533427787125,0.6451958115646861,0.0831116620915611,0.0634047640131054,0.13801911765343003,0.37424228222598555
Britain,Ground_vehicles,2025-02-02,8.7 ~ 9.7,8.7,7495.0,640.3936624416278,0.612465790527018,0.0,0.0,0.12244802528272074,0.34962296767446555
Britain,Ground_vehicles,2025-02-02,9.0 ~ 10.0,9.0,5945.0,613.8142136248949,0.5905587720773758,0.0477577796467619,0.0789840201850294,0.11513430906580663,0.30161639940605567
Britain,Ground_vehicles,2025-02-02,9.3 ~ 10.3,9.3,6704.0,568.774119928401,0.5902526849642004,0.1357756563245823,0.1627237470167064,0.09697968532886661,0.23181952223876762
Britain,Ground_vehicles,2025-02-02,9.7 ~ 10.7,9.7,9482.0,1009.6229381986924,0.6142201223370597,0.0959966251845602,0.1150495676017717,0.1087127544001179,0.2663269081966466
Britain,Ground_vehicles,2025-02-02,10.0 ~ 11.0,10.0,8207.0,1067.434165955891,0.6214783355671988,0.1109101986109419,0.1329231144145241,0.11278403372334121,0.27667030685040583
Britain,Ground_vehicles,2025-02-02,10.3 ~ 11.3,10.3,7107.0,1147.5210637399748,0.6371263120866751,0.088127198536654,0.0874264809342901,0.12256847787275445,0.31105787686949093
Britain,Ground_vehicles,2025-02-02,10.7 ~ 11.7,10.7,12850.0,1190.9656920511395,0.5789398443579767,0.0722863813229572,0.0579354085603112,0.11680472742441025,0.30686797592592646
Britain,Ground_vehicles,2025-02-02,11.0 ~ 12.0,11.0,10199.0,1157.3387236843948,0.5499790469653888,0.091075595646632,0.0729944112167859,0.11005823947904511,0.30798768647226743
Britain,Ground_vehicles,2025-02-02,11.3 ~ 12.3,11.3,10199.0,1157.3387236843948,0.5499790469653888,0.091075595646632,0.0729944112167859,0.11005823947904511,0.30798768647226743
Britain,Ground_vehicles,2025-02-02,11.7 ~ 12.7,11.7,10199.0,1157.3387236843948,0.5499790469653888,0.091075595646632,0.0729944112167859,0.11005823947904511,0.30798768647226743
Britain,Ground_vehicles,2025-02-02,12.0 ~ 13.0,12.0,2885.0,1442.5,0.6052907798960139,0.0,0.0,0.12678231450629693,0.4000346963338769
Britain,Ground_vehicles,2025-01-30,1.0 ~ 2.0,1.0,179.0,17.78463687150838,0.5358134078212291,0.0,0.100558659217877,0.1612274473988211,0.3789934840254391
Britain,Ground_vehicles,2025-01-30,1.3 ~ 2.3,1.3,122.0,14.22295081967213,0.36065573770491804,0.0,0.1475409836065573,0.08942845864576694,0.19591042831299002
Britain,Ground_vehicles,2025-01-30,1.7 ~ 2.7,1.7,264.0,20.59280303030303,0.7007575757575758,0.0,0.0681818181818181,0.14527966174936796,0.236980140328611
Britain,Ground_vehicles,2025-01-30,2.0 ~ 3.0,2.0,777.0,67.76919776919777,0.7041110682110682,0.0,0.0231660231660231,0.25430272613349353,0.6461564557524418
Britain,Ground_vehicles,2025-01-30,2.3 ~ 3.3,2.3,867.0,62.5962541879497,0.6886900807381778,0.0,0.0,0.23062505164598948,0.6357612014846797
