nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Japan,Ground_vehicles,2025-02-08,5.7 ~ 6.7,5.7,3644.0,335.3688117453348,0.5435513995609221,0.0079473106476399,0.0059604829857299,0.1591337709098261,0.344731056335722,0.638781865195216,0.2643299327466618
Sweden,Ground_vehicles,2025-02-11,7.3 ~ 8.3,7.3,5605.0,520.0043413618793,0.4117506333630687,0.0391650312221231,0.0383657448706512,0.111655743991816,0.26473963749315,0.3657928811449304,0.0742716581468371
USA,Ground_vehicles,2025-02-05,9.0 ~ 10.0,9.0,16533.0,1174.376461218976,0.4881004657351963,0.207077965281558,0.2184370652634125,0.0791936050636081,0.1861922218141418,0.4881164650827248,0.1028454165716685
Sweden,Ground_vehicles,2025-02-14,4.0 ~ 5.0,4.0,2387.0,302.2235023041475,0.4670932551319648,0.024574780058651,0.0210640971931294,0.1690781766388716,0.3649329614941995,0.372820468927393,0.2012219969510217
Japan,Ground_vehicles,2025-02-11,1.0 ~ 2.0,1.0,448.0,52.88497023809524,0.6536468750000001,0.0,0.0,0.2783272254425648,0.4674252380389844,0.4613803439476942,0.49466541141173
Sweden,Ground_vehicles,2025-03-01,3.3 ~ 4.3,3.3,5168.0,925.4450625644996,0.5398200851393188,0.0064202786377708,0.0036687306501547,0.234578325636776,0.5064904166730975,0.3933421077267312,0.3647105587655531
Sweden,Ground_vehicles,2025-03-10,5.0 ~ 6.0,5.0,1726.0,258.4330822711472,0.5213930475086905,0.0435168018539976,0.0423406720741599,0.1210274456375006,0.2722622683176192,0.5056040591697559,0.1926606616530331
Israel,Ground_vehicles,2025-02-02,11.0 ~ 12.0,11.0,8186.0,1256.4166463067024,0.605887832885414,0.0033264109455167,0.0038016125091619,0.1504156083187845,0.4643342450957574,0.7180168663479459,0.3606879316426117
Japan,Ground_vehicles,2025-01-06,11.3 ~ 12.3,11.3,25994.0,4073.34639916904,0.619590397784104,0.1014195583596214,0.1098299607601754,0.1273194386065298,0.3952066468024389,0.5751032624212012,0.335988957281265
China,Ground_vehicles,2025-01-18,9.7 ~ 10.7,9.7,5080.0,982.2446522309712,0.6049563188976379,0.017007874015748,0.0182480314960629,0.1111658810890486,0.2568590951806283,0.6175972808599042,0.2645268743980935
Japan,Ground_vehicles,2025-02-17,3.7 ~ 4.7,3.7,1638.0,285.51119251119246,0.6432680708180709,0.0504761904761904,0.0281501831501831,0.1724159249084172,0.4781415577387674,0.6237742891515706,0.4173182155340863
