nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
France,Ground_vehicles,2025-03-19,5.0 ~ 6.0,5.0,3796.0,353.99424833157707,0.6504030031612222,0.1940569020021074,0.1288883034773446,0.1714320939709023,0.3127798321732749,0.6561151270826856,0.3687324618595437
France,Ground_vehicles,2025-03-19,5.3 ~ 6.3,5.3,3392.0,441.9118022798742,0.6361885318396225,0.2141155660377358,0.1483254716981132,0.1018891009418423,0.2034431935844885,0.6341760177134457,0.27179325653052416
France,Ground_vehicles,2025-03-19,5.7 ~ 6.7,5.7,6511.0,654.8363589822352,0.6504236829980035,0.1115466134234372,0.0772723084011672,0.1454827479794175,0.3600531047875419,0.6616872754287169,0.367212877046547
France,Ground_vehicles,2025-03-19,6.0 ~ 7.0,6.0,5843.0,692.511757658737,0.6505840150607564,0.0286804723600889,0.0259489988019852,0.1534852602806227,0.3921387265493367,0.6620442222890063,0.3833873943485802
France,Ground_vehicles,2025-03-19,6.3 ~ 7.3,6.3,5474.0,715.1185970040191,0.6375550968213373,0.0372999634636463,0.0312641578370478,0.1440500327514267,0.3702426542260265,0.6602535601001046,0.35678322249105426
France,Ground_vehicles,2025-03-19,6.7 ~ 7.7,6.7,11146.0,763.5355912434954,0.6890615916023687,0.0032836892158621,0.0017513009151265,0.1779683363589693,0.4857619157052249,0.7038180663605274,0.46934722154728215
France,Ground_vehicles,2025-03-19,7.0 ~ 8.0,7.0,8182.0,690.313431923735,0.7074561843070154,0.0044732339281349,0.0023857247616719,0.181649643008386,0.5073259486475515,0.7207349525926626,0.49737438745023516
France,Ground_vehicles,2025-03-19,7.3 ~ 8.3,7.3,8889.0,655.2319439757003,0.706438935763303,0.0041174485318933,0.0021959725503431,0.1755113693555574,0.4936252164643042,0.7159412926824411,0.4877067048367175
France,Ground_vehicles,2025-03-19,7.7 ~ 8.7,7.7,10077.0,623.2815272402502,0.6976224372333035,0.0250659918626575,0.018151235486752,0.1688946472273048,0.4708088901936196,0.7038291741514873,0.46688563272116385
France,Ground_vehicles,2025-03-19,8.0 ~ 9.0,8.0,3607.0,290.6003465483781,0.6608207374549486,0.0700277238702522,0.0507097310784585,0.134448484003345,0.3729907891911359,0.6681272907773548,0.37456936060182466
